Year,Monthly_GDP,All_Indicator
3/31/1993,6.729,1
4/28/1993,6.768,4
5/26/1993,6.824,4
6/30/1993,6.834,2
7/28/1993,6.833,1
8/25/1993,6.874,4
9/29/1993,6.939,4
10/27/1993,6.945,2
11/24/1993,7.036,4
12/29/1993,7.061,2
1/26/1994,7.074,3
2/23/1994,7.123,4
3/30/1994,7.15,3
4/27/1994,7.186,3
5/25/1994,7.29,4
6/29/1994,7.264,1
7/27/1994,7.299,4
8/31/1994,7.352,4
9/28/1994,7.342,1
10/26/1994,7.429,4
11/30/1994,7.432,2
12/28/1994,7.505,4
1/25/1995,7.542,3
2/22/1995,7.488,1
3/29/1995,7.536,4
4/26/1995,7.539,2
5/31/1995,7.561,3
6/28/1995,7.643,4
7/26/1995,7.63,1
8/30/1995,7.674,3
9/27/1995,7.745,4
10/25/1995,7.747,2
11/29/1995,7.748,2
12/27/1995,7.823,3
1/31/1996,7.84,2
2/28/1996,7.853,3
3/27/1996,7.912,4
4/24/1996,8.025,4
5/29/1996,8.009,1
6/26/1996,8.064,3
7/31/1996,8.099,3
8/28/1996,8.123,2
9/25/1996,8.172,3
10/30/1996,8.251,4
11/27/1996,8.282,3
12/25/1996,8.246,1
1/29/1997,8.309,4
2/26/1997,8.386,4
3/26/1997,8.393,2
4/30/1997,8.512,3
5/28/1997,8.476,1
6/25/1997,8.568,4
7/30/1997,8.621,3
8/27/1997,8.656,3
9/24/1997,8.712,4
10/29/1997,8.748,2
11/26/1997,8.736,1
12/31/1997,8.813,4
1/28/1998,8.773,1
2/25/1998,8.894,4
3/25/1998,8.933,3
4/29/1998,8.926,1
5/27/1998,8.953,4
6/24/1998,9.031,3
7/29/1998,9.051,2
8/26/1998,9.1,4
9/30/1998,9.213,4
10/28/1998,9.267,3
11/25/1998,9.307,3
12/30/1998,9.307,1
1/27/1999,9.357,4
2/24/1999,9.411,3
3/31/1999,9.467,4
4/28/1999,9.496,3
5/26/1999,9.534,4
6/30/1999,9.548,2
7/28/1999,9.661,4
8/25/1999,9.66,1
9/29/1999,9.739,3
10/27/1999,9.814,3
11/24/1999,9.892,4
12/29/1999,9.995,4
1/26/2000,9.922,1
2/23/2000,9.999,4
3/29/2000,10.08,4
4/26/2000,10.23,4
5/31/2000,10.23,1
6/28/2000,10.29,4
7/26/2000,10.23,1
8/30/2000,10.34,4
9/27/2000,10.38,2
10/25/2000,10.43,3
11/29/2000,10.45,2
12/27/2000,10.43,1
1/31/2001,10.47,4
2/28/2001,10.46,1
3/28/2001,10.48,3
4/25/2001,10.57,3
5/30/2001,10.64,3
6/27/2001,10.59,1
7/25/2001,10.59,3
8/29/2001,10.7,3
9/26/2001,10.51,1
10/31/2001,10.64,4
11/28/2001,10.59,1
12/26/2001,10.75,4
1/30/2002,10.79,2
2/27/2002,10.75,1
3/27/2002,10.81,4
4/24/2002,10.86,2
5/29/2002,10.87,2
6/26/2002,10.93,4
7/31/2002,11,4
8/28/2002,10.95,1
9/25/2002,11,4
10/30/2002,11,1
11/27/2002,11.05,4
12/25/2002,11.13,3
1/29/2003,11.14,2
2/26/2003,11.21,4
3/26/2003,11.17,1
4/30/2003,11.26,4
5/28/2003,11.28,3
6/25/2003,11.41,4
7/30/2003,11.47,2
8/27/2003,11.57,4
9/24/2003,11.66,3
10/29/2003,11.7,3
11/26/2003,11.79,4
12/31/2003,11.83,2
1/28/2004,11.81,1
2/25/2004,11.93,4
3/31/2004,12.04,3
4/28/2004,12.04,1
5/26/2004,12.18,4
6/30/2004,12.13,1
7/28/2004,12.28,4
8/25/2004,12.3,2
9/29/2004,12.34,3
10/27/2004,12.47,4
11/24/2004,12.51,2
12/29/2004,12.6,4
1/26/2005,12.75,4
2/23/2005,12.75,1
3/30/2005,12.8,3
4/27/2005,12.86,4
5/25/2005,12.88,2
6/29/2005,13.03,4
7/27/2005,13.1,2
8/31/2005,13.15,3
9/28/2005,13.18,2
10/26/2005,13.23,3
11/30/2005,13.3,4
12/28/2005,13.44,4
1/25/2006,13.52,2
2/22/2006,13.57,3
3/29/2006,13.71,4
4/26/2006,13.69,1
5/31/2006,13.78,4
6/28/2006,13.78,1
7/26/2006,13.79,3
8/30/2006,13.88,4
9/27/2006,13.93,3
10/25/2006,13.97,2
11/29/2006,14.06,4
12/27/2006,14.09,2
1/31/2007,14.14,3
2/28/2007,14.29,4
3/28/2007,14.23,1
4/25/2007,14.36,4
5/30/2007,14.4,2
6/27/2007,14.44,3
7/25/2007,14.42,1
8/29/2007,14.6,4
9/26/2007,14.67,3
10/31/2007,14.66,1
11/28/2007,14.71,3
12/26/2007,14.77,4
1/30/2008,14.8,2
2/27/2008,14.63,1
3/26/2008,14.69,4
4/30/2008,14.76,3
5/28/2008,14.8,2
6/25/2008,15.04,4
7/30/2008,14.97,1
8/27/2008,14.92,2
9/24/2008,14.81,1
10/29/2008,14.7,1
11/26/2008,14.7,1
12/31/2008,14.43,0
1/28/2009,14.48,3
2/25/2009,14.44,1
3/25/2009,14.37,0
4/29/2009,14.36,1
5/27/2009,14.38,2
6/24/2009,14.41,2
7/29/2009,14.38,1
8/26/2009,14.48,3
9/30/2009,14.49,2
10/28/2009,14.69,3
11/25/2009,14.66,0
12/30/2009,14.6,2
